"Interval beetwen email send attemps","Intervallo tra tentativi di invio email"
"Total number of email send attemps","Numero di tentativi di invio email"
"Transactional emails","Email transazionali"
"Transactional email configuration","Configurazione email transazionali"
"Enable or disable Contactlab Transactional Emails module","Abilita o disabilita il modulo Contactlab Transactional Emails"
"Configure default values", "Configura valori di default"
"Configure", "Configura"
